cid,pid,lid,cgid,cgname
179,19445,100499,3,Women's Apparel
179,19446,120517,3,Women's Apparel
179,19449,99516,16,Sports Accessories
179,19449,99516,6,Sport Apparel
179,19452,120523,10,Food & Beverage
179,19454,99508,3,Women's Apparel
179,19454,99508,2,Men's Apparel
179,19456,100290,3,Women's Apparel
179,19458,99510,3,Women's Apparel
179,19464,120534,67,Convenience Store
179,19509,20071,2,Men's Apparel
179,19509,20071,5,Men's Accessory
179,19510,120574,41,Grocery/Supermarket
179,19539,120598,10,Food & Beverage
179,19546,120605,41,Grocery/Supermarket
179,19562,120621,67,Convenience Store
179,19563,120622,20,Parking
179,19565,120624,10,Food & Beverage
179,19566,117198,10,Food & Beverage
179,19567,117197,10,Food & Beverage
179,19568,120627,3,Women's Apparel
179,19568,120627,2,Men's Apparel
179,19575,120634,10,Food & Beverage
179,19607,120660,10,Food & Beverage
179,19612,19970,51,Shoes
179,19630,120681,46,Gas Station
179,19635,120685,10,Food & Beverage
179,19641,120690,14,Home & Furnishing
198,15219,116971,10,Food & Beverage
198,15221,116973,10,Food & Beverage
203,1260,79772,4,Women's Accessory
203,1261,79782,4,Women's Accessory
225,16698,20263,3,Women's Apparel
225,16698,20263,4,Women's Accessory
225,24263,123819,3,Women's Apparel
225,24263,123819,4,Women's Accessory
225,24882,123819,3,Women's Apparel
225,24882,123819,4,Women's Accessory
227,15633,107029,18,Jewelry & Watches
234,1279,77967,17,Toys & Games
234,1284,77859,51,Shoes
240,13217,115724,3,Women's Apparel
240,13217,115724,2,Men's Apparel
240,22973,20099,51,Shoes
241,1290,77859,51,Shoes
241,1292,77967,17,Toys & Games
263,14185,116240,3,Women's Apparel
263,15613,20032,3,Women's Apparel
344,15055,116828,3,Women's Apparel
346,18793,119935,67,Convenience Store
403,2009,83723,10,Food & Beverage
430,2107,84565,1,Children's Apparel
446,15433,107010,3,Women's Apparel
463,4881,20263,3,Women's Apparel
463,4881,20263,4,Women's Accessory
463,4888,79772,4,Women's Accessory
463,4933,79782,4,Women's Accessory
516,13125,107002,3,Women's Apparel
516,13125,107002,4,Women's Accessory
516,13125,107002,2,Men's Apparel
516,13125,107002,5,Men's Accessory
595,3359,19954,3,Women's Apparel
595,3359,19954,4,Women's Accessory
595,3359,19954,2,Men's Apparel
595,3359,19954,5,Men's Accessory
750,18022,119280,50,Showroom
757,15476,107018,3,Women's Apparel
757,15476,107018,2,Men's Apparel
773,13042,115667,9,Music
773,13042,115667,8,Electronics
806,14984,116780,10,Food & Beverage
