cid,cn,pic,bid,bn,pc,prjs,citys,malls,brands,bcatgs,nr,ar,ip,pr,un,countryid,statecode,otherstate,city,streetname,zipcode
104,DE LA GARZA ARCHITECTURE LLC,104_1411819889_GARZA_ARCHITECTURE_LLC.png,1,Architecture &amp; Design,1,[],[],[],[],[],1,5.00,0,1,Javier de la Garza,231,NY,,Dobbs Ferry,153 Main Street,10522
1930,JKRP Architects,1930_1469108935_JKRP_Architects.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,JKRP Architects,231,PA,,PHILADELPHIA ,100 EAST PENN SQUARE  SUITE 1080 ,19107
859,"Wiss, Janney, Elstner Associates, Inc.","859_1442436752_Wiss,_Janney,_Elstner_Associates,_Inc..png",22,Structural Engineering,1,[],[],[],[],[],0,0.00,0,1,"Wiss, Janney, Elstner  Associates, Inc.",231,IL,,Northbrook,330 Pfingsten Road	 ,60062
3791,Th3 Standard Inc,no-image.png,105,Project Manager,1,[],[],[],[],[],0,0.00,0,2,Simone Milenati,231,CA,,Castro Valley ,,
2001,Crane Construction Company LLC,2001_1470762454_Crane_Construction_Company_LLC.png,7,General Contractor,1,[],[],[],[],[],0,0.00,0,1,Crane  Construction Company LLC,231,IL,,Northbrook,"343 Wainwright Drive, Suite B ",60062
3943,"ALDI, USA","3943_1539896828_ALDI,_USA.jpeg",192,Construction Manager,1,[],[],[],[],[],0,0.00,0,2,Alfonso Perez,231,TX,,Houston,,
976,DESIGN REPUBLIC PARTNERS ARCHITECTS LLP,976_1465869611_DESIGN_REPUBLIC_PARTNERS_ARCHITECTS_LLP.png,1,Architecture &amp; Design,1,[],[],[],[],[],1,5.00,0,1,DESIGN  REPUBLIC PARTNERS ARCHITECTS LLP,231,NY,,NEW YORK,"501 MADISON AVENUE, 11TH FL. ",10022
2155,Lucas Jacobson,2155_1477055504_Lucas_Jacobson.jpg,52,Owner's Representative,1,[],[],[],[],[],0,0.00,0,1,Lucas Jacobson,231,NY,,New York,336 E 5th Street,10003
1020,Millwork Consultants,no-image.png,14,Millwork Installation,1,[],[],[],[],[],0,0.00,0,1,Adam Berke,231,NY,,Farmingdale,Picone Boulevard,11735
1157,John Spaulding,1157_1520791650_John_Spaulding.jpg,32,Photography,1,[],[],[],[],[],0,0.00,0,1,JOHN  SPAULDING PHOTOGRAPHY,38,AZ,Ontario,Waterloo,461 Drummerhill Crescent,N2T 1G3
227,High Country,227_1433338792_High_Country.jpg,15,Millwork Production &amp; Installation,1,[],[],[],[],[],0,0.00,0,1,Kelli Hoffman,231,CO,,Longmont,4076 Specialty Place,80504
2235,DAVACO Inc.,2235_1486504175_DAVACO_Inc..png,7,General Contractor,1,[],[],[],[],[],0,0.00,0,1,DAVACO Inc.,231,TX,,Dallas,6688 N. Central Expwy.,75206
2298,"Alignment Development Services, LLC",no-image.png,18,Project Management Services,1,[],[],[],[],[],3,5.00,0,1,Scott Gordon,231,NY,,New York,324 East 41st Street,10017
1333,Henderson Engineers,1333_1455919477_Henderson_Engineers.png,13,MEP Engineering,1,[],[],[],[],[],0,0.00,0,1,Henderson  Engineers,231,KS,,Lenexa,8345 Lenexa Drive Suite 300,66214
346,MCG Architecture,346_1435068205_MCG_Architecture.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,Brian Tiedge,231,CO,,Englewood,10333 E. Dry Creek Rd.,80112
2373,David Nice Builders,2373_1498399591_David_A._Nice_Builders.png,7,General Contractor,1,[],[],[],[],[],0,0.00,0,1,David Nice,231,VA,,Williamsburg,4571 Ware Creek Rd.,23188
446,Montes Laudano Architects,446_1427485514_Montes_Laudano_Architects.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,Montes  Laudano Architects,231,VA,,Falls Church,2337 Brittany Parc Drive,22043
2665,JDC Consulting,2665_1507926253_Bottega_Veneta.png,291,Principal,1,[],[],[],[],[],0,0.00,0,2,Jacopo Dalla Casa,106,,,Milan,,
1604,Permit Place - We Love Permits,1604_1461103881_Permit_Place.jpg,5,Permit Expediting,1,[],[],[],[],[],0,0.00,0,1,Mike Robinson,231,CA,,Sherman Oaks,13400 Riverside Drive ,91423
595,Superl Sequoia Limited,595_1430846067_Superl_Sequoia_Limited.png,15,Millwork Production &amp; Installation,1,[],[],[],[],[],0,0.00,0,1,Amy Garrett,231,NC,,New Bern,1616 Brices Creek Rd.,28562
2692,"SMCP - Sandro, Maje, Claudie Pierlot",2692_1508170160_Kate_Spade_&_Company.png,109,Senior Construction Project Manager,1,[],[],[],[],[],0,0.00,0,2,Karen Hess,231,NY,,New York,,
1821,Farmington Displays Inc.,1821_1465839424_Farmington_Displays_Inc..png,88,Custom Displays,1,[],[],[],[],[],0,0.00,0,1,Farmington  Displays Inc.,231,CT,,Farmington,21 Hyde Road  ,06032 
773,LDA Design Group,773_1437433417_Linane-Drews_Architects_Inc.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,Donald D. Linane,231,CA,,Burbank,3500 West Burbank Blvd. ,91505
3211,Swarovski,3211_1519347053_Swarovski.png,166,Head of Retail Architecture,1,[],[],[],[],[],0,0.00,0,2,Adriana Isaac,231,FL,,Miami,,
837,Raumplus,837_1441391535_Raumplus.png,57,Door Systems,1,[],[],[],[],[],0,0.00,0,1,Raumplus .,231,NY,,New York,494 Eighth Avenue,10001
