cid,pid,lid,bid,brand,mid,mall,st,city,area,sc,ip
3008,25181,124418,12655,Evereve,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
3380,25048,124332,26,Aritzia,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
3595,22963,122966,909,Kendra Scott,5775,Highland Village,4055 Westheimer Road,Houston Tx,GENAREA,TX,1
3595,22916,122932,3986,Brahmin,6692,Citycentre Plaza,800 Sorella Ct,Houston Tx,,TX,1
3595,19851,120842,15381,Zales,777,Willowbrook Mall,2000 Willowbrook Mall,Houston Tx,Houston,TX,1
5590,25547,124699,18,Moncler,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
6816,24340,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
7059,24987,20088,96,GIORGIO ARMANI ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
7059,24986,20088,96,GIORGIO ARMANI ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
10075,24910,20224,7,Bottega Veneta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
10075,24897,20088,96,GIORGIO ARMANI ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
10075,24824,20089,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
45,6439,92468,192,CELINE,5861,NEIMAN MARCUS Galleria,2600 Post Oak Boulevard,Houston Tx,GENAREA,TX,0
57,7620,20089,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
76,14886,20229,115,COACH,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
80,23789,123460,35299,Veronica Beard,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
80,16541,117630,12021,MCM,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
100,16080,117394,2257,AG Adriano Goldschmied,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
100,14184,116239,26710,AG Jeans,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
103,15987,117379,169,Kate Spade,5775,Highland Village,4055 Westheimer Road,Houston Tx,GENAREA,TX,0
103,15977,107032,971,Van Cleef & Arpels,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
104,13084,115674,438,Saint Laurent,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
107,13773,116022,242,TUMI,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
107,13733,19970,298,Steve Madden,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
107,13674,77878,1701,New York & Company,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
107,13599,115938,2928,Typo,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
107,13592,77900,2080,Cotton On,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
107,13544,20090,267,Guess,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
107,13484,77900,2080,Cotton On,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
114,15628,20089,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
114,15465,116828,198,Proenza Schouler,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
114,15454,117131,92,DE BEERS,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
114,15445,117127,118,Burberry,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
114,15055,116828,198,Proenza Schouler,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
114,8015,109510,118,Burberry,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
130,15524,19993,117,CHANEL,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
130,14102,19990,118,Burberry,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
130,14074,20214,91,MAC Cosmetics,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
130,8016,109510,118,Burberry,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
142,25108,124365,35613,Rails,8540,Montrose Collective,888 Westheimer Rd,Houston Tx,,TX,0
146,15479,20167,80,CARTIER,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
148,15823,117324,98,LOUIS VUITTON,5861,NEIMAN MARCUS Galleria,2600 Post Oak Boulevard,Houston Tx,GENAREA,TX,0
179,19641,120690,1444,Sur La Table,6696,River Oaks Shopping Center,1964 W Gray St,Houston Tx,GENAREA,TX,0
179,19635,120685,248,Starbucks,0,,10501 earland Parkway,Houston Tx,,TX,0
179,19630,120681,34749,RaceWay ,0,,12912 South Post Oak Rd.,Houston Tx,,TX,0
179,19612,19970,298,Steve Madden,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,19607,120660,27099,Kolache Factory,0,,14129 Memoral Drive,Houston Tx,,TX,0
179,19575,120634,248,Starbucks,0,,300 Merorial City Suite #745,Houston Tx,,TX,0
179,19568,120627,290,FOREVER 21,0,,15000 Harvey Rd.,Houston Tx,,TX,0
179,19567,117197,3242,Wendy's,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,19566,117198,4506,Potbelly Sandwich Shop,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,19565,120624,25505,Pick Up Stix,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,19563,120622,34733,Fastpark & Relax Parking Facility,0,,8202 Hansen Road,Houston Tx,,TX,0
179,19562,120621,25309,Circle K,0,,12602 E. Freeway,Houston Tx,,TX,0
179,19546,120605,34730,Joe V's,0,,7755 West Beltfort Avenue,Houston Tx,,TX,0
179,19539,120598,248,Starbucks,0,,"11560 FM 1960 West, Suite 101",Houston Tx,,TX,0
179,19510,120574,29297,Aldi,0,,9870 Louetta Road,Houston Tx,,TX,0
179,19509,20071,760,Brooks Brothers,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,19464,120534,33747,Stripes,0,,702 Rankin Rd.,Houston Tx,,TX,0
179,19458,99510,1693,Chico's,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
179,19456,100290,1706,White House|Black Market,6696,River Oaks Shopping Center,1964 W Gray St,Houston Tx,GENAREA,TX,0
179,19454,99508,290,FOREVER 21,777,Willowbrook Mall,2000 Willowbrook Mall,Houston Tx,Houston,TX,0
